,sentence,extract
268,The solution treatment at a temperature of 440 degC caused the dissolution of the θ-Al2Cu and hcp Zn phases and transformed the Mg2Si phase into the Q-Al5Cu2Mg8Si6 phase.,0
269,Present phases were mostly polyhedral in shape with dimensions of several micrometres.,0
270,"Incremental sheet forming (ISF) is a highly flexible process for rapid manufacturing of high value-added, small-batch and customized sheet metal parts.",0
271,"The Al-oxide peak in the Al2p spectra matches the binding energies of the α-Al2O3 phase [11, 22, 23].",0
272,"According to XRD analysis by Schob and Nowotny [16], solid solutions AlSi4Zr5 is extended from binary αSiZr phase, so the equilibrium between αSiZr, Al2Zr, Al3Zr, Si2Zr and τ1 agrees well with the present work.",0
273,The development of microstructure and the influence of processing route during equal channel angular drawing of pure aluminum.,0
274,"In PA state, remarkable increments of 56.1% and 130.3% in ultimate tensile strength and yield strength while a moderate increase of 6.3% in ductility are achieved in the alloy compared with the as-fabricated state.",0
275,These results strongly imply that a high strength at high temperature does not correspond to high creep resistance at high temperature.,0
276,The significant increasing in strength is explained as a result of the semi-coherent S' phase during the aging process in the 2A70 alloy [12].,1
277,"2015, 5, 097176.",0
278,"Additionally, the early phase of cell-implant interactions was studied by performing a kinetic morphological analysis of the adhesion, spreading and proliferation of NIH3T3 cells to determine the biocompatibility of treated and untreated Fe-Al-Mn.",0
279,"Due to the strong correlation with the possibility of causing cracks in the materials, elastic anisotropy isimportant in engineering science [32].",0
280,The reason for the high strength is mainly the ageing-strengthening effect of the η (MgZn2) phase and the dispersion-strengthening effect of the Al3Ni phase.,1
281,"Ding, Z. Shen, and A.P.",0
282,The shape of the melt pool boundary in Al-3.0Co at.,0
283,"Al2CuMg particles (S-phase) initially behave anodically with respect to the matrix but, due to dealloying, the remnant becomes electrochemically nobler than the matrix [7].",0
284,"These unique properties are mainly attributed to martensitic transformation (MT), in which the high-temperature ferromagnetic austenite phase transforms to the low-temperature paramagnetic or weak-magnetic martensite phase at a certain temperature range [10].",1
285,"For a concentration of SiO2 nanoparticles equal to 3 g/liter, the analyzed alloys are characterized by the maximum value of microhardness and wear resistance and the minimum roughness of oxide layers, which correlates both with the maximum content of the α -Al2O3 corundum phase and the minimum contents of the mullite and γ -Al2O3 phases and with the appearance of a superhigh-pressure phase (stishovite).",1
286,"This may be correlated with the increase in Si containing compounds like mullite phase (3Al2O3*2SiO2) (Ref 23, 24, 29).",0
287,"Micrometric iron-rich intermetallic are grouped together as chains, their size is between 1 and 15 μm.",0
288,"The values of σf'and b are closely associated with the intrinsic material microstructures and properties and they directly dominate the fatigue life at certain stress amplitudes [48,49].",1
289,"The plateau stress and energy absorption capacity of C-FFTs are nearly 3.5 and 3.7 times higher than those of ETs, respectively.",0
290,Intermetallic compounds (IMCs) distributed at the interface reduce the bonding strength of Mn-Cu-Al alloy/430 stainless steel (430SS) brazed joints.,0
291,"The hardness of W-phase embedded in matrix is ~116.7 H V, and it can be inferred that the W-phase is likely to be a strengthening phase in the alloy.",1
292,A detailed TDIF analysis revealed the sensibility of the internal friction technique to the formation of semi-coherent and non-coherent phases (β' and β) but it is not sensitive enough to the formation of coherent phases (GP zones).,0
293,"The peak hardness of the Al-Sc alloy aged at an elevated temperature of 400 degC is only 29.7 HV, significantly lower than that of the alloy aged at 275 degC and 225 degC, as shown in Fig. 4.",0
294,"The metastable plate-like θ' phase with a nominal stoichiometry of Al2Cu, which has a higher shear resistance than fine θ'' phase precipitates, is most effective for strengthening of these alloys [31].",1
295,"At the same time, the tensile strength and elongation of the alloy are also enhanced because of the reduction of fracture sources caused by the plate-like α-phase and the dispersive strengthening of granular or rod-like shaped phases.",1
296,"In recent decades, these alloys are also utilized for drill pipes to improve drill efficiency with less energy consumption [4-6].",0
297,"When the aging time increases to 48h, more AlLi phase turns up and appears to aggregate which results in the decrease of hardness, and the transformation of θ phase into the equilibrium phase (AlLi) in LA96 also causes the hardness decrease.",1
298,"Electrochemical energy storage devices have gained increasing interest owing to their potential applications in generators, electronic vehicles, smart textiles and electronics [1-3].",0
299,"Thus, each single VLE curve roughly corresponds to a constant microstructure, in terms of precipitate size and distribution.",0
300,"Eu(Pd 0.85 Au 0.15 ) 2 Si 2 in contrast shows a first order valence phase transition around50 K, in line with our observations.",0
301,The single crystallinity of the β phase was confirmed by Laue diffraction and X-ray topography.,0
302,Trends Anal Chem.,0
303,"However, in case of 9% Al addition the amount of total IMCs is more as a result it deteriorates the mechanical properties.",0
304,"The formation enthalpy of the Al3Ni2 phase (-0.6704 eV/atom) was lower than that of the Al3Ni phase (-0.4581 eV/atom), implying that Al3Ni2 had a stronger alloying ability than Al3Ni.",0
305,The κ phases had different morphologies and were located differently in the α-copper matrix microstructure.,0
306,"China 24, 1301-1306 (2014) Google Scholar 24.L.F.",0
307,The so-called double Curie phenomenon (magnetic transitions of the A2-phase and the DO3-phase) is also common to the three phase diagrams.,0
308,"Ma, Microstructure and Mechanical Properties of 7A09 Aluminium Alloy After Isothermal Forging and Solution Treatment, J. Mater.",0
309,"The tensile tests showed that the yield strength, tensile strength, and elongation improved at higher casting speeds because of refinement of the Mg2Si phase and the grains in the Al-Mg2Si composites and the AA6061 alloy.",1
310,"(B.4) in a non-dimensional, logarithmic manner, we have (B.5)lnσ/σ0-A/σ0=lnB/σ0+nln(ε)where σ0 = 1 MPa.",0
311,The increasing hardness of the nugget is related to complete solution of overaging strength phases and new precipitation of fine needle-shaped precipitates.,0
312,"As shown in Fig. 6, the oxide layer thickness of the Fe-Cr-Al ferritic steel oxidized in three different atmospheres is comparable.",0
313,"Therefore, refining the coarse primary Si phase in the high-silicon aluminum alloy is necessary to enhance the comprehensive properties of the alloy.",1
314,"Literatures [7] ; [9] indicated that the recrystallized grains were indeed more prone to IGC, exfoliation corrosion and SCC, but finer and scattered η phases precipitated along the un-recrystallized subgrain boundaries with a lower energy localized corrosion resistance, which is consistent with our previous work as well [21] ; [22].",1
315,"Fig. 3a shows XRD spectra of the as-cast TZA222 alloy, which contains Mg phase (HCP, a = 0.321nm, c = 0.521nm) [13] and Mg5Zn2Al2 phase with a primitive orthorhombic structure (a = 0.8979nm, b = 1.6988nm and c = 1.9340nm) [17].",0
316,It can be seen that the value of impact strength continue to increase with increase in the percentage of SiC and rare earth elements (CeO2 + La2O3) but on increasing the amount of rare earth elements to 3 wt% impact strength value of the composite decreases.,1
317,"In recrystallized grains, there are a number of quench-induced η phase particles, and most of them are associated with Al3Zr dispersoids (Fig. 5(b)); these η phase particles have various shapes.",0
318,"For aluminum-silicon alloys, the size and shape of the silicon phase determine its mechanical properties (Ref 34).",0
319,"During the initial stages of exposure, all the coatings exhibited higher cathodic OCP values at the range of -1.09 V to -1.05 V. The OCP remained almost constant in the first 10 days.",0
320,The microstructure is almost one order of magnitude finer in SST and the eutectic is made of highly distorted fibres.,0
321,"]25%, and the microstructure of the film containing 9R phase is shown schematically in Figure 2c.",0
322,"Assuming the SiCnp are uniformly distributed in the matrix, the theoretically estimated upper limit of the \( \Delta \sigma_{\text{GND}} \) in peak-aged 1 vol% SiCnp/7075Al composite is 41.7 MPa.",0
323,"SEM investigation of the interface region between steel and solidified AlSi coating: (a) overview of the characteristic intermetallic phase seam (b) EBSD phase map revealing the θ phase layer located between the η phase and Al, (c) EDX line scan result obtained along the arrow in (a).",0
324,"The amorphous powder was consolidated in a high-vacuum hot press furnace at 400 degC while maintaining its glass phase, and the sintered body was treated in a high vacuum heat furnace at 800 degC for 30 min to get a sputtering target with high toughness and heat resistance.",0
325,Conventional aluminum alloys are slowly phased out in several industrial applications due to the superior service performance of AMCs [1-4].,0
326,"The OR between β' phase and α-Al matrix could be identified as: [0001]β'//[001]α, β'//α, (OR0).",0
327,"To ensure that this system is suitable for the atmospheric environment, an absorbent fiber sheet is considered as the electrolyte carrier.",0
328,"A non-contact laser profilometer, Accura 1500 F (Intek IMS, Korea), was used to measure the surface roughness of substrate surfaces subjected to different surface treatments.",0
329,"Because η phase is less etching resistant [5], the higher porosity observed on the metallographic samples may also be caused by the formation of the η phase.",0
330,"Interestingly, the hardness value was significantly higher than that of aluminum matrix and steel wire rope in the diffusion zone, which indicated that the Fe/Al diffusion layer was brittle.",0
331,"Alkali-activation of GGBFS is a process of dissolving the aluminosilicate vitreous structures in a high pH environment, forming various phases with binding capacity [5].",0
332,"The zinc and aluminium concentration were selected on the basis of Al-Zn phase diagram ( Fig. 1) and the reported literature, with an aim to have β phase (Zn rich phase) to be considerably high (70-80%) in case of upper level and considerably low (5-10%) in case of lower level in order to achieve a wide range of variation in β phase in the matrix.",0
333,"Wang JF, Sun QJ, Wang H et al (2016) Effect of location on microstructure and mechanical properties of additive layer manufactured Inconel 625 using gas tungsten arc welding.",0
334,It was followed by cloth polishing using ethanol-based alumina ([?,0
335,The existence of pores and cracks would affect the strength of the joints.,0
336,"Quantitative correlation would require an entire reassessment of the early phases in this system, which is certainly beyond the scope of this work.",0
337,"However, it is known that in such a case, a coarse and brittle Mg2Ca phase is formed at the grain boundaries [26,27], and therefore, the mechanical properties, particularly the elongation, deteriorate significantly.",1
338,*A novel ultra-high strength Al-4.7Cu-1Li-0.5Mg-0.1Zr-1Zn alloy was designed.,0
339,5083 aluminum alloy substrates were degreased and cleaned by absolute ethanol and distilled water under sonication for two times respectively.,0
340,"Open image in new window Fig. 9 Bode magnitude plots of EIS data for uncoated and coated specimens in a 3.5 wt.% NaCl solution: (a) Mg-Ca alloy, (b) Mg-Zn-Ce-La alloy, (c) Al/AlCr coating on Mg-Zn-Ce-La alloy, and (d) Al/AlCr coating on the Mg-Ca alloy Open image in new window Fig. 10 Bode phase plots of EIS data for uncoated and coated specimens in a 3.5 wt.% NaCl solution: (a) Mg-Ca alloy, (b) Mg-Zn-Ce-La alloy, (c) Al/AlCr coating on Mg-Zn-Ce-La alloy, and (d) Al/AlCr coating on the Mg-Ca alloy",0
341,"When the welding speed was fixed at 1500 mm/min, as the rotational speed increased from 2000 to 10,000 rpm, the axial force decreased from 2320 to 1460 N. So, the high rotational speed can significantly reduce the axial force during μFSW process.",0
342,"In the interface regions between the Al12Mg17 phase and the AA6040 Al alloy, further small inclusions of different structure were found (Fig. 3b).",0
343,"Metal Forming Technology, University of Kassel, Kurt-Wolters-Strasse 3, Kassel, 34125 Germany",0
344,"The micro-cracks were transferred from the matrix to fibers, the fibers can hinder the crack propagation, and during the process of the fibers being pulled-out/broken, more energy was consumed.",0
345,"(8), and taking into account that (Aσ2+Bσ+C)=ρmobρtot we obtain that (in the general case of solid solutions):(9)A2=4πbΩkTGd(σG)ρmobρtot[DsolDL2πc0β2ln(r2r1)DL+(bkT)2ln(c*c0*)Dsol]",0
346,"The microstructure of AW 7075 alloy after heat treatment consisted of grains of the solid solution of Zn in Al with a large number of intermetallic phase particles, Fig. 1a.",0
347,"Therefore, we assume that the β-NiAl phase in the coating has been saturated with hafnium during the CVD process and the surplus hafnium has formed precipitates of the Hf phase (hexagonal structure with cell parameters: a=3.196 nm and c=5.058 nm).",0
348,"When reinforced with ceramic particles, further defects arise due to the presence of the hard phase [6], [7], [8], [9] and [10]:",0
349,"All the solid symbols indicate the α+α' phases, while the open ones designate the single α phase.",0
350,https://doi.org/10.1007/s13320-019-0569-2Download citationReceived: 25 February 2019Revised: 26 July 2019Published: 23 October 2019DOI: https://doi.org/10.1007/s13320-019-0569-2KeywordsPhotonic crystalanodic aluminasensorrefractive index,0
351,(4) can be written as in Eq.,0
352,J Alloys Compd 831:154795,0
353,It can be seen that the latter is only little influenced by the adsorption of the ODPA monolayer on the untreated surface but greatly delayed in the case of the ODPA monolayer adsorbed after the plasma treatments.,0
354,"where \(\gamma _{\mathrm{sv}}\) is the surface tension between the solid phase and air, \(\gamma _{\mathrm{sl}}\) is the surface tension between the solid and liquid phases, \(\gamma _{\mathrm{lv}}\) is the surface tension between the liquid phase and the air and \(\theta \) denotes the wetting contact angle.",0
355,"The very limited solubility of Cu in Al[61] explains the formation of the Al2Cu phase, which is also the Al-richest phase among the AlxCuy ones.",0
356,"Some of the dislocations contain jogs, which create vacancies as they are dragged along during glide.",0
357,"In addition, the morphology of the β-Mg17Al12 phase plays a significant role in improving the creep response of the AZ91 alloy.",1
358,Fragmented precipitate structures contain no dominating phase(s).,0
359,"After being clarified for 24 h, the solution was added with 6 g hydrazine hydrate and filtered.",0
360,"They showed, that the heat treatment led to an improvement of the shear strength of about 39% compared to the as-cast state, which was attributed to the τ6-Al4.5FeSi interfacial phase.",1
361,"Its ultrahigh strength is a result of the nano-sized MG phase impeding dislocation gliding from one nanograin to another nanograin in the neighboring structure unit, while its large plasticity is a result of the continuous transitory-dislocations' generation-movement-annihilation in the nanograins and the intrinsic plastic flow of the nano-sized MG phase.",1
362,"Kwon, D. Tomanek, Phys.",0
363,"The specimen was mounted with epoxy resin in an exposed area of 400 mm2, and then polished up to 1000 grit emery paper.",0
364,"Due to the longer aging period higher amounts of θ-phase are formed, while the ductility decreases for this reason.",1
365,"Accordingly, optimized mechanical properties combining high strength and good plasticity can be obtained for these hierarchical multi-phase composites.",0
366,"Mn is often added at 1-3 pct to transform the embrittling platelet-like δ-Al3FeSi2 and β-Al5FeSi phases in these alloys into the less detrimental star-like or polyhedral α-Al15(Fe,Mn)3Si2 phase, as demonstrated by Yang et al. (2001).",1
367,"2 that the yield strength increases as the volume and size of precipitates increases when the dislocation cuts the particles.The η-phase remained incoherent with the matrix, and dislocations pass through the η-phase by way of bypassing.",0
368,Senka Gudic & Ladislav Vrsalovic,0
369,"The pore indicated by arrow A shows the tearing of the pore wall, and the pores indicated by arrows B and C show plastic buckling of the pore walls (Fig. 4a, b).",0
370,"2009, 94, 459.",0
371,Hardness tests indicate that the microhardness of α-Mg phase reaches HV 85.,0
372,The θ' phase formed provides an easy diffusion pathway along the periphery for the separated Sn atoms and easy nucleation sites with a low nucleation energy barrier for the Sn precipitates at the semicoherent interface.,0
373,The more prominent feature of TMT is its great feasibility in industrial applications.,0
374,"Deposited at room temperature for a period of time, the fine η' phases re-precipitate from the supersaturated solid solution, i.e., natural aging takes place, leading to an increase of microhardness.",1
375,"For instance, Boileau and Allison (Ref 13) found that the fatigue strength of W319-T6 alloy cast with an average secondary dendrite arm spacing of 23 um increased from 90 to 130 MPa due to a successful HIP treatment.However, the combination of pressure, temperature, and time can influence several other microstructural features in this alloy besides porosity, including the spheroidization, dissolution, precipitation, or redistribution of secondary phases.",0
376,Solid State Electron.,0
377,Micro-XRD analysis of the second layer in Fig. 5-2 (75 Wt.%YSZ-25 Wt.%Al2O3) showed a more stable t-ZrO2 phase and a small amount of m-ZrO2 and YVO4 phases.,0
378,"The smaller the grain size is, the more the number of the grain boundaries is.",0
379,"With overaging, the strain-hardening exponent increases with decreasing yield strength.Analysis of the fracture surfaces indicated that the fracture mechanism is consistent with the aging condition of the material; both ductile fracture and, to a lesser extent, quasicleavage fracture were observed in the investigated cases.The minor alloying additions of Cu, Ag, and Sm to the A357 alloy resulted in a marginal increase in strength, possibly due to the precipitation of the θ'' phase during artificial aging.",1
380,The tensile strength of the welded joints increased first but then slightly decreased when the positive duty cycle exceeded certain level.,0
381,"[20, 21, 49] It needs to be mentioned that there is a slight shift of the C 1s peak energy with increasing cycling number, and the raw XPS data is provided in Figure S28, Supporting Information.",0
382,"Second, two new peaks from the Mg2Si phase emerged at 28.08deg and 40.13deg, which were from (200) and (220) planes, respectively.",0
383,"At first the solid solution of scandium in aluminum decomposes with formation of Al3Sc phase, and in the later decomposition stages the diffusion flux of scandium atoms and a flux of zirconium atoms are combined, and there is formation of a shell of Al3(Sc1 - x , Zr x ) phase at the surface already formed Al3Sc particles.",0
384,"When larger final elongation is obtained, more β phase can be transformed into the α phase, and a higher proportion of the α phase in the alloy can be generated and induced.",0
385,"Icosahedral (I) phase is quasi-periodic in three dimensions with a point group of m3-5-, while the decagonal (D) phase is quasi-periodic in two and periodic in the other dimension, with point group 10/mmm[3].",0
386,"The yield strength decreases, however, with increasing particle size of the η' phases (the Orowan mechanism).",1
387,"Recently, some scholars investigated the corrosion behavior of UFG aluminum alloys.",0
388,"However, the greatly weakened work hardening and much improved inter-particle bonding result in significant improvements in ductility and a relatively high elongation of ~10% is achieved.",0
389,"This model is usually to describe the viscoelastic (anelastic and viscoplastic) deformation of polymers and metallic glasses which can be described as a series of linear springs and dashpots [52,53].",0
390,"Although the coating deposited by small sized powder particles contained high amount of oxides, it presented the highest adhesive strength since its mean temperature is the highest among the coatings deposited at different conditions.",0
391,"In terms of the crystallographic space group of the T1 phase, all the structures are hexagonal with a space group symmetry of P6/mmm except for the structure (hexagonal, P6mm) proposed by J. M. Howe et al., as shown in Table 1.",0
392,(c) Unitcell choices for orientation variants A and B of the monoclinic η' phase.,0
393,"Moreover, the additional oxide particles incorporated into Al alloys can act as another strengthening component, which in conjunction with grain boundaries and precipitates, forming a hierarchical structure to further increase the strength.",1
394,"The density of the nonmetallic phase (pure nonmetallic phase without aluminum), as presented in the particular class of pressed skulls, is measured with a prescribed number (12-25) and mass (1 kg) of representative subsamples, using a laboratory pyknometer.",0
395,"The grain refinement, increment of the compressive residual stress and material hardening surface potentially increase corrosion resistance, wear and prevent early crack growth.",0
396,"They are having remarkable properties, which include appreciable surface area, tailorable acidic and basic properties, high metal dispersion, stability against sintering, etc.",0
397,"Finally, the mechanical properties are mainly decided by comprehensive influences of the β-phase grain size and the α-phase content and morphology.",0
398,"The interaction of hard phases with the indenter, in this case, may lead to the increase in the hardness.",0
399,"Fig. 1 shows the TEM images of the microstructure of as-aged samples prior to ECA pressing, illustrating two kinds of precipitated particle formed in the aging process, one is a plate-shaped θ' phase (see Fig. 1(a)), and the other is a bar-shaped θ phase (see Fig. 1(b)).",0
400,"Krupp, H. J. Christ, Oxid.",0
401,θ' (Al2Cu) phase,0
402,The rare earth magnetic moments lie in the basal plane and show a 'triangular' arrangement which is characteristic of geometrically frustrated systems where magnetic moments form the (distorted) kagome lattice.,0
403,The high tensile strength was mainly attributed to grain refinement and precipitation strengthening of the Mg2Sn and icosahedral phases.,1
404,"Electrochim Acta 56(18):6459-6463CAS Article Google Scholar 11.Shakir I, Choi JH, Shahid M, Shahid SA, Rana UA, Sarfraz M, Kang DJ (2013) Ultra-thin and uniform coating of vanadium oxide on multiwall carbon nanotubes through solution based approach for high-performance electrochemical supercapacitors.",0
405,probability density function of the experimental VD size distribution,0
406,"Hot-shortness occurs when low-melting-point phases are remelted during extrusion, especially at high speeds, where frictional effects can cause substantial increases in temperature.",1
407,"""When the processing proceeds beyond 2 cycles, the hardness, YS and J-integral value of RTF-AlMgSi have decreased, due to the coarsening of β""""-phase.""",1
408,"Considering that ZrO2 is more effective than CeO2 in stabilizing Al2O3, the majority of the Zr species may spread over Al2O3, leading to the observed CZ phase richer in Ce.8, 29 In addition, besides the characteristics for Al2O3 and CZ, diffraction peaks identified as the PdO phase are also found at 42.1, 54.8, and 71.5deg, while the features of the metallic Pd are absent, indicating that the Pd species are mainly in the form of the oxidized Pd2+ (PdO) for the fresh catalysts.",0
409,High-hardness silicon particles can effectively improve wear resistance.,1
410,The rise in peak intensity of A2-phase shows that the alloy is rich in martensitic-phase in the polycrystalline cubic B2-phase structure and Zn incorporation leads to the reduction in austenite-phase.,0
411,The intensity of observed excitation bands increase with increase in concentration of Tb3+ indicating a uniform distribution of Tb3+ ions throughout the SAOTx monoclinic phase.,0
412,Fiber tearing is the reason why the failure strength of the Al-BFRP joints is lower than that of Al-Al joints.,0
413,"In neutral solutions, a suppressed phase maximum in the low frequency region was present and the high frequency region phase maximum dominates (cf.",0
414,The Al2Cu and Al3Ni phases grow with a faceted characteristic at a lower growth rate and the transition from the faceted phase to the non-faceted phase occurs with the increase of the growth rate.,0
415,"The expression of DRX has already been reported in the same fcc structures as in the γ phase [29-34] and in the same B2 structure as in the β phase [35,36].",0
416,Pinless FSSW offers a better alternative to overcome the aforementioned problems as the joining during this process is assisted by dynamic recrystallisation and diffusion bonding between the two layers [26].,0
417,"Decreasing stress intensity-growth rate (v-K) curves from the DCB tests conducted on the new-gen alloys, compared to benchmark data for AA7050-T7651 (tested at 70 degC and 85 % RH) presented as; (a) a conventional logarithmic and (b) a linear v - K plot.",0
418,"At elevated temperatures, if metallic material does not form a protective oxide layer on its surface, it loses too much base mass.",0
419,Table 5 shows the parameters of cleaned pits on the cleaned surface under the conditions of different pulsed laser power values.,0
420,The weak interfacial interaction between the graphite powder and aluminum matrix deteriorates the mechanical properties.,0
421,"N. Kumar, P.N.",0
422,"The 400 degC route promotes better bonding than the 350 degC route, however softening and grain growth can be observed after 10 cycles.",0
423,"In contrast to the case of ductility and fracture toughness, better fatigue resistance is observed for a microstructure with only δ' phase in comparison to that containing both δ' and S' phases.",1
424,"In addition, the orientation of g(140)Al is always maintained between two adjacent GPB1 as well as between two adjacent GPB1 and GPB1*.",0
425,It was finally polished with colloidal silica suspension to observe the microstructure.,0
426,"Interestingly, high volume fraction of primary Al can be observed in the vicinity of Al9Co2 phase.",0
427,"The ultimate tensile strength and maximum peeling strength are 250 MPa and 126.5 N/mm, respectively.",0
428,"As the rolling speed increases, the peak of the Si phases move to a lower angle as shown in figure 4 .",0
429,"[45] All together, these processes can produce smooth and better quality welds.Fig.",0
430,Exploiting the difference in performance of two or more enhancement phases to synergistically strengthen the metal matrix provides superior performance compared to using only a single reinforcement phase composite [1-3].,0
431,"Iron and silicon are considered impurities and are held to an absolute minimum, because they form intermetallic compounds (Al7Cu2Fe and Mg2Si) that are detrimental to both fatigue and fracture toughness.",1
432,"Accordingly, with the increase of temperature, the dislocation strengthening weakens.",0
433,"It has been demonstrated that the LPSO phase has high hardness as well as the potential to suppress the movement of dislocations [43], and researchers have used deformation techniques, including hot extrusion and equal channel angular pressing, to refine the LPSO phase in magnesium alloys for enhancement of strength and ductility [44,45].",1
434,2019.,0
435,The yield strength was defined at a plastic strain of 0.2 pct while the tensile strength was calculated by dividing the fracture load (or ultimate load) by the initial cross-section of the specimen.,0
436,The silicon phase was not coarsened even after 8h of subjecting it to isothermal heat treatment at 375degC indicating the stability of the refined silicon phase even at the relatively elevated temperatures.,0
437,"That is to say, the composites with more homogeneous distribution of graphene via secondary-processing including rolling, extrusion, and cold-drawing, usually exhibited higher UTS than those of the hot-expressed composites.",1
438,"], γMP, Mθ, Rg and T are the concentration at the planar interface, concentration at the curved interface, specific energy at the interface of the Al2Cu phase and the matrix (0.694J/m2 (Hu et al., 2006), the molar mass of the Al2Cu phase, the gas constant and the absolute temperature, respectively.",0
439,"At high sintering condition (700 degC) and a higher constituent of GS, these inter-metallic compounds have formed.",0
440,"I_boost can be set to mid or high level, but it should be lower than the current that causes a burn back up to the contact tube with rapid wire melting rate at the start of boost phase (wire retracting).",0
441,"The presence of metallic phases provides a significant improvement in toughness and damage tolerance, while the ceramic phases would lead to high hardness and improved performance at elevated temperatures.",1
442,"This enhanced corrosion resistance of the BMGs arises from its amorphous structure, which lacks dislocations and grain boundaries that are susceptible to corrosion attacks [1,2,26].",0
443,"As discussed in previous section, fine and dispersed Ni-containing phase seems to increase the toughness of the joints while coarse and cracked Al3Ni phase degrades the mechanical properties.",1
444,"The maximum plastic deformation is possible when two sheets are formed together, and as the amount (in numbers) of metal sheets increases in the stack, the plastic deformation of the metal sheets decreases.",0
445,"Interestingly, LDH@DOX showed a hexagon with tentacles that was different from that of LDH and LDH@DDC, and thus it was speculated that the special configuration was closely related to incorporation of DOX.",0
446,"fgb is the fraction of grain boundaries per unit volume and has a value of 4/D for tubular grains, with D being the mean grain size diameter.",0
447,The Al-x%Si-0.8Sc alloys exhibited higher flow stress and tensile strength in contrast to their binary alloy counterparts which was attributed to the bi-modal size distribution of the strengthening phases in the form of nano-scale V-phase and sub-micron to 10um size silicon particles.,1
448,"This study provides a possible strategy to gain high strength and large ductility, i.e. obtaining fine grains by enhanced recrystallization resulted from high strain rate and high content of solute Mg atoms, and then followed by cold working hardening.",0
449,"More generally, literature reports that oxygen-containing phases lead to a small increase, or at the opposite a drastic reduction of [9,33,34] the fracture toughness of these materials.",1
450,"As the θ phase is incoherent with the matrix and has few strengthening effects on the strength, σmin at 773 K (500 degC) is primarily affected by the strengthening effect of precipitation during aging.Open image in new windowFig.",1
451,"Compared to the single α-phase alloys, additions of up to 5 wt% Ni and 5 wt% Fe in NAB improve both strength and corrosion resistance by allowing higher concentrations of aluminium whilst suppressing formation of the adverse γ2 phase which accelerates corrosion [2].",1
452,"The microstructural fabrication of Al-alloy foams consisted of aluminum grains, silicon phase, and distributed silicon carbide particles in the matrix.",0
453,"Thus, the Δσss for the HSRRed and CRed alloys are 93.8 MPa and 91.1 MPa, respectively.",0
454,"At the same time, for concentrations of potassium (sodium) hydroxide > 6 g/liter, the electrolyte is highly aggressive, which leads to etching of the surface and a decrease in the thickness of the oxide layer.",0
455,The stacking of the graphite layers can be arranged in two configurations: ABA (2H) graphite and ABCA (3R) graphite structure.,0
456,"In some cases, this Ni-rich phase was observed to be in conjunction with the π-Al8FeMg3Si6 phase.",0
457,"Thus, as Zn content reaches 1 wt%, the precipitation of T1 phase is greatly enhanced at expense of S' phase.",0
458,"7a Multi response optimization using desirability plot, b Desirability analysis using bar graphFull size imageFigure 7 a depicts multi responses optimized values of SiC is 7.48 wt% and optimized values of RE is 1.47 wt% for optimized responses microhardness, ultimate tensile strength, and impact strength.",0
459,"(The zones within two white dotted lines are the bonding zones of the weld seam, and the direction indicated by each pair of white arrows is the direction of the welding interface.",0
460,"Even though the load was defined as a constant during the tests, some oscillations in its signal could be observed during the transient periods, which could be attributed to the adjustment of the PID control loop.",0
461,"The tensile stress-strain curve obtained for the base material is shown in Fig. 2, and in light of the experimental results discussed in the latter part of the paper, this plot was used to draw a sound comparison with the analytical stress analysis obtained from the data.",0
462,"LaNi5 and (La,Mg)2Ni7 phase abundance of the alloy samples (a), 2H- and 3R-type (La,Mg)2Ni7 phase abundance and their ratios (b).",0
463,The C37M alloy was included to explore the effects of aluminum addition on welding-induced cracking and α' phase stability.,0
464,The exothermic peak for the formation of nickel aluminide phases in the presence of the liquid phase overlapped the endothermic peak of melting of Al-Al3Ni eutectic composition and finally the result of these two events was one exothermic peak of DTA at 630 degC (Fig. 1(b)).,0
465,"It is assumed that the material softens during the welding process due to dissolution of artificially aged precipitations above 200degC and hardens after welding at room temperature forming Co-clusters, GP zones and δ' phases.",0
466,The improvement in fatigue lives of the samples is around 5 times.,0
467,"zones, η', with the presence of some limited η, T (Al20Cu2Mn3) and E (Al18Mg3Cr2) phases along the grain boundaries and within the grains [12].",0
468,"Overall, it has been shown that a combinatorial adhesion study can be used to determine the optimum composition for improved interfacial adhesion of a particular thin film system in a holistic, yet time- and resource-saving way.",0
469,"The dislocation density of L-PBF-parts lead to good conditions for nucleating the T1 phase.Among the 320degC in situ heat-treated samples printed from the modified alloys, alloy 2 showed the lowest microhardness, of 33.4 HV0,1.",0
470,"A well known but not fully explained phenomenon in XPS analysis is a variation in the adventitious carbon peak position, that is, in the C 1s energy.",0
471,"In addition, the diameter of capacitive loop increase significantly and the maximum phase angle become higher and broader, these results suggest that synthetic LDH was able to greatly enhance the carbon steel impedance [44].",0
472,Scan resolution calculated by the object magnification factor that results to form the relative position of the detector geometry.,0
473,"""β-Li is a """"softer phase"""" compared with α-Mg, and thus Mg-Li alloys usually exhibit lower strengths than conventional Mg alloys [11].""",1
474,Needlelike β-phases was brittle and would deteriorate the strength of the PMZ.,1
475,"However, their advantages on other aspects, like corrosion behaviour and light weight, may be sacrificed because additional elements can result in precipitation of corrosion-related phases, like Mg-rich β [5,6] phase and Cu-rich phases [7,8] at grain boundary (GB), exposing the alloys to a higher risk of being corroded.",1
476,"The reason was not only the higher the dilution degree of the Mg2Si strengthening phase, but also coarser columnar grains formed near the fusion line.",1
